nombre,telefono,sitio_web,correo,actividad,direccion,colonia,cp,municipio,entidad,latitud,longitud,tiene_web,fuente,fecha
Bar restaurante de Costa a Costa,+34949877120,,,Restaurantes,Calle de Salvador Dalí 7,,19002,Guadalajara,Jalisco,40.6261329,-3.1721259,No,OpenStreetMap,2026-01-28 22:43:56
Doner Kebab Punjabi,+34949222777,https://www.kebabpunjabi.es/,,Restaurantes,Calle de Salvador Dalí 3,,19002,Guadalajara,Jalisco,40.6267925,-3.171914,Si,OpenStreetMap,2026-01-28 22:43:56
Restaurante El Laurel,+34949410780,https://ellaurelguada.es/,,Restaurantes,,,,Guadalajara,Jalisco,40.6238101,-3.2013881,Si,OpenStreetMap,2026-01-28 22:43:56
El Velero de Pacheco,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6301789,-3.1638389,No,OpenStreetMap,2026-01-28 22:43:56
Vips,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6219431,-3.1647357,No,OpenStreetMap,2026-01-28 22:43:56
100 Montaditos,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6223153,-3.1654463,No,OpenStreetMap,2026-01-28 22:43:56
Ginos,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6223351,-3.1654925,No,OpenStreetMap,2026-01-28 22:43:56
La Tasca del Chuletón,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6249946,-3.1603005,No,OpenStreetMap,2026-01-28 22:43:56
Ristorante Trattoria La Bella Famiglia,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6302081,-3.1625637,No,OpenStreetMap,2026-01-28 22:43:56
Restaurante Las Galeras,,,,Restaurantes,Autovía del Nordeste Km.60.600,,,Guadalajara,Jalisco,40.6583131,-3.1188179,No,OpenStreetMap,2026-01-28 22:43:56
Bureo,,,,Restaurantes,Calle de Toledo 19,,19002,Guadalajara,Jalisco,40.6240249,-3.159371,No,OpenStreetMap,2026-01-28 22:43:56
Botánico,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6297878,-3.1577055,No,OpenStreetMap,2026-01-28 22:43:56
Menta Canela,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6300005,-3.1615882,No,OpenStreetMap,2026-01-28 22:44:40
Bar Cafetería La Tapa,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6329116,-3.1643223,No,OpenStreetMap,2026-01-28 22:44:40
Pasteleria Damar,,,,Cafeterias,Calle Wenceslao Argumosa 6,,,Guadalajara,Jalisco,40.6286138,-3.1645475,No,OpenStreetMap,2026-01-28 22:44:40
Los Faroles,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6325269,-3.1657687,No,OpenStreetMap,2026-01-28 22:44:40
Alcarria,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6272005,-3.1649032,No,OpenStreetMap,2026-01-28 22:44:40
Rodilla,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6294397,-3.1638148,No,OpenStreetMap,2026-01-28 22:44:40
Avenida,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6273801,-3.1628322,No,OpenStreetMap,2026-01-28 22:44:40
Talleres RAMI,,,,Talleres Mecanicos,,,,Guadalajara,Jalisco,40.6303329,-3.1848282,No,OpenStreetMap,2026-01-28 22:45:25
Mobility-Centro,+34949202158,https://www.mobilitycentro.com/concesionarios/guadalajara,hola@mblcentro.com,Talleres Mecanicos,,,,Guadalajara,Jalisco,40.6271715,-3.1978529,Si,OpenStreetMap,2026-01-28 22:45:25
Gruas EL CHATO,,,,Talleres Mecanicos,,,,Guadalajara,Jalisco,40.6478196,-3.1347809,No,OpenStreetMap,2026-01-28 22:45:25
GH Dent & Medicina Estetica,,,,Dentistas,Calle del Cardenal González de Mendoza 8,,19001,Guadalajara,Jalisco,40.6328845,-3.1697242,No,OpenStreetMap,2026-01-28 22:46:15
Caredent,,,,Dentistas,,,,Guadalajara,Jalisco,40.6284666,-3.1635785,No,OpenStreetMap,2026-01-28 22:46:15
Gimnasio Jorge García Personal Trainer,,,,Gimnasios,,,,Guadalajara,Jalisco,40.637522,-3.1528068,No,OpenStreetMap,2026-01-28 22:47:43
Sport Center,,,,Gimnasios,,,,Guadalajara,Jalisco,40.6225194,-3.1616679,No,OpenStreetMap,2026-01-28 22:47:43
Basic-Fit,,,,Gimnasios,,,,Guadalajara,Jalisco,40.620451,-3.1603109,No,OpenStreetMap,2026-01-28 22:47:43
Dellas,,,,Salones de belleza,,,,Guadalajara,Jalisco,40.6255175,-3.1629748,No,OpenStreetMap,2026-01-28 22:48:27
Farmacia La Chopera,,,,Farmacias,,,,Guadalajara,Jalisco,40.6376656,-3.1837228,No,OpenStreetMap,2026-01-28 22:49:12
Farmacia La rambla,,,,Farmacias,,,,Guadalajara,Jalisco,40.6337575,-3.1769165,No,OpenStreetMap,2026-01-28 22:49:12
,,,,Farmacias,,,,Guadalajara,Jalisco,40.6375848,-3.1608681,No,OpenStreetMap,2026-01-28 22:49:12
Farmacia Ignacio Forcén Marín,+34949227603,https://farmacia-ignacio-forcen-marin.business.site,,Farmacias,,,,Guadalajara,Jalisco,40.6290514,-3.1769047,Si,OpenStreetMap,2026-01-28 22:49:12
Farmacia María Diéguez Torres,+34949201900,,,Farmacias,,,,Guadalajara,Jalisco,40.6318186,-3.1809081,No,OpenStreetMap,2026-01-28 22:49:12
Farmacia Jesús Cortijo Alcázar,+34949203352,,,Farmacias,,,,Guadalajara,Jalisco,40.6295228,-3.1814265,No,OpenStreetMap,2026-01-28 22:49:12
Farmacia Los Manantiales,,,,Farmacias,,,,Guadalajara,Jalisco,40.6328865,-3.1919561,No,OpenStreetMap,2026-01-28 22:49:12
Vicenti,,,,Farmacias,,,,Guadalajara,Jalisco,40.6327133,-3.1660347,No,OpenStreetMap,2026-01-28 22:49:12
Farmacia Lda. Laura Bergés,+34949234293,,,Farmacias,,,,Guadalajara,Jalisco,40.62663,-3.1693904,No,OpenStreetMap,2026-01-28 22:49:12
Farmacia Taboada Picazo,+34949230506,,,Farmacias,,,,Guadalajara,Jalisco,40.6273556,-3.1674634,No,OpenStreetMap,2026-01-28 22:49:12
Restaurante Casino Club de Campo de Guadalajara,+34687444178,https://casinoguadalajara.es/dt_gallery/restauracion-club-de-campo/,,Restaurantes,,,,Guadalajara,Jalisco,40.6135604,-3.1441097,Si,OpenStreetMap,2026-01-28 22:56:44
Mesón Bejanque,+34949219797,,,Restaurantes,Plaza de Bejanque 12,,19005,Guadalajara,Jalisco,40.632951,-3.1605649,No,OpenStreetMap,2026-01-28 22:56:44
Restaurante El Infantado,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6207136,-3.1618699,No,OpenStreetMap,2026-01-28 22:56:44
El Bodegón de Sancho,+34949222789,,,Restaurantes,,,,Guadalajara,Jalisco,40.6310939,-3.1500163,No,OpenStreetMap,2026-01-28 22:56:44
El Pampa,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6339883,-3.1576643,No,OpenStreetMap,2026-01-28 22:56:44
Celtigos,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6296766,-3.160369,No,OpenStreetMap,2026-01-28 22:56:44
La Mafia,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6298744,-3.16045,No,OpenStreetMap,2026-01-28 22:56:44
La Perla 1,,,,Restaurantes,Calle de Francisco Aritio,,,Guadalajara,Jalisco,40.6439004,-3.1813984,No,OpenStreetMap,2026-01-28 22:56:44
Ricardos,,,,Restaurantes,Calle de Francisco Aritio,,,Guadalajara,Jalisco,40.6435015,-3.1810754,No,OpenStreetMap,2026-01-28 22:56:44
Cafetería Marma,,,,Restaurantes,Calle del Dos de Mayo,,,Guadalajara,Jalisco,40.6354724,-3.1732075,No,OpenStreetMap,2026-01-28 22:56:44
La Nouba,,,,Restaurantes,Paseo de San Roque 18,,19001,Guadalajara,Jalisco,40.6298461,-3.1610652,No,OpenStreetMap,2026-01-28 22:56:44
El gusto de cocina de autor,,,,Restaurantes,Plaza de los Caídos 1,,19003,Guadalajara,Jalisco,40.6359009,-3.1678456,No,OpenStreetMap,2026-01-28 22:56:44
El Palomo,+34949230632,,,Restaurantes,Cuesta de San Miguel 5,,19001,Guadalajara,Jalisco,40.634177,-3.1633331,No,OpenStreetMap,2026-01-28 22:56:44
Loft76,,,,Restaurantes,Bulevar Clara Campoamor,,,Guadalajara,Jalisco,40.6466031,-3.1553228,No,OpenStreetMap,2026-01-28 22:56:44
La herradura,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6266642,-3.1892561,No,OpenStreetMap,2026-01-28 22:56:44
Asador Casa Ortiz,+34949101049,https://www.asadorcasaortiz.es/,,Restaurantes,Avenida de Eduardo Guitián 5,,,Guadalajara,Jalisco,40.6210962,-3.1609059,Si,OpenStreetMap,2026-01-28 22:56:44
Can-Vic,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6370104,-3.1533484,No,OpenStreetMap,2026-01-28 22:56:44
restaurante Diegos's,+34949253634,http://restaurantediegos.com/,,Restaurantes,,,,Guadalajara,Jalisco,40.6240744,-3.1980627,Si,OpenStreetMap,2026-01-28 22:56:44
Sotillo,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6273307,-3.1649784,No,OpenStreetMap,2026-01-28 22:56:44
Redondo,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6264248,-3.1650247,No,OpenStreetMap,2026-01-28 22:56:44
Bar restaurante de Costa a Costa,+34949877120,,,Restaurantes,Calle de Salvador Dalí 7,,19002,Guadalajara,Jalisco,40.6261329,-3.1721259,No,OpenStreetMap,2026-01-28 22:56:44
Doner Kebab Punjabi,+34949222777,https://www.kebabpunjabi.es/,,Restaurantes,Calle de Salvador Dalí 3,,19002,Guadalajara,Jalisco,40.6267925,-3.171914,Si,OpenStreetMap,2026-01-28 22:56:44
Restaurante El Laurel,+34949410780,https://ellaurelguada.es/,,Restaurantes,,,,Guadalajara,Jalisco,40.6238101,-3.2013881,Si,OpenStreetMap,2026-01-28 22:56:44
El Velero de Pacheco,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6301789,-3.1638389,No,OpenStreetMap,2026-01-28 22:56:44
Vips,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6219431,-3.1647357,No,OpenStreetMap,2026-01-28 22:56:44
100 Montaditos,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6223153,-3.1654463,No,OpenStreetMap,2026-01-28 22:56:44
Ginos,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6223351,-3.1654925,No,OpenStreetMap,2026-01-28 22:56:44
La Tasca del Chuletón,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6249946,-3.1603005,No,OpenStreetMap,2026-01-28 22:56:44
Ristorante Trattoria La Bella Famiglia,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6302081,-3.1625637,No,OpenStreetMap,2026-01-28 22:56:44
Restaurante Las Galeras,,,,Restaurantes,Autovía del Nordeste Km.60.600,,,Guadalajara,Jalisco,40.6583131,-3.1188179,No,OpenStreetMap,2026-01-28 22:56:44
Bureo,,,,Restaurantes,Calle de Toledo 19,,19002,Guadalajara,Jalisco,40.6240249,-3.159371,No,OpenStreetMap,2026-01-28 22:56:44
Botánico,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6297878,-3.1577055,No,OpenStreetMap,2026-01-28 22:56:44
Menta Canela,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6300005,-3.1615882,No,OpenStreetMap,2026-01-28 22:57:29
Bar Cafetería La Tapa,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6329116,-3.1643223,No,OpenStreetMap,2026-01-28 22:57:29
Pasteleria Damar,,,,Cafeterias,Calle Wenceslao Argumosa 6,,,Guadalajara,Jalisco,40.6286138,-3.1645475,No,OpenStreetMap,2026-01-28 22:57:29
Los Faroles,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6325269,-3.1657687,No,OpenStreetMap,2026-01-28 22:57:29
Alcarria,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6272005,-3.1649032,No,OpenStreetMap,2026-01-28 22:57:29
Rodilla,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6294397,-3.1638148,No,OpenStreetMap,2026-01-28 22:57:29
Avenida,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6273801,-3.1628322,No,OpenStreetMap,2026-01-28 22:57:29
Talleres RAMI,,,,Talleres Mecanicos,,,,Guadalajara,Jalisco,40.6303329,-3.1848282,No,OpenStreetMap,2026-01-28 22:58:13
Mobility-Centro,+34949202158,https://www.mobilitycentro.com/concesionarios/guadalajara,hola@mblcentro.com,Talleres Mecanicos,,,,Guadalajara,Jalisco,40.6271715,-3.1978529,Si,OpenStreetMap,2026-01-28 22:58:13
Gruas EL CHATO,,,,Talleres Mecanicos,,,,Guadalajara,Jalisco,40.6478196,-3.1347809,No,OpenStreetMap,2026-01-28 22:58:13
GH Dent & Medicina Estetica,,,,Dentistas,Calle del Cardenal González de Mendoza 8,,19001,Guadalajara,Jalisco,40.6328845,-3.1697242,No,OpenStreetMap,2026-01-28 22:58:57
Caredent,,,,Dentistas,,,,Guadalajara,Jalisco,40.6284666,-3.1635785,No,OpenStreetMap,2026-01-28 22:58:57
Gimnasio Jorge García Personal Trainer,,,,Gimnasios,,,,Guadalajara,Jalisco,40.637522,-3.1528068,No,OpenStreetMap,2026-01-28 23:00:26
Sport Center,,,,Gimnasios,,,,Guadalajara,Jalisco,40.6225194,-3.1616679,No,OpenStreetMap,2026-01-28 23:00:26
Basic-Fit,,,,Gimnasios,,,,Guadalajara,Jalisco,40.620451,-3.1603109,No,OpenStreetMap,2026-01-28 23:00:26
Dellas,,,,Salones de belleza,,,,Guadalajara,Jalisco,40.6255175,-3.1629748,No,OpenStreetMap,2026-01-28 23:01:10
Farmacia La Chopera,,,,Farmacias,,,,Guadalajara,Jalisco,40.6376656,-3.1837228,No,OpenStreetMap,2026-01-28 23:01:54
Farmacia La rambla,,,,Farmacias,,,,Guadalajara,Jalisco,40.6337575,-3.1769165,No,OpenStreetMap,2026-01-28 23:01:54
,,,,Farmacias,,,,Guadalajara,Jalisco,40.6375848,-3.1608681,No,OpenStreetMap,2026-01-28 23:01:54
Farmacia Ignacio Forcén Marín,+34949227603,https://farmacia-ignacio-forcen-marin.business.site,,Farmacias,,,,Guadalajara,Jalisco,40.6290514,-3.1769047,Si,OpenStreetMap,2026-01-28 23:01:54
Farmacia María Diéguez Torres,+34949201900,,,Farmacias,,,,Guadalajara,Jalisco,40.6318186,-3.1809081,No,OpenStreetMap,2026-01-28 23:01:54
Farmacia Jesús Cortijo Alcázar,+34949203352,,,Farmacias,,,,Guadalajara,Jalisco,40.6295228,-3.1814265,No,OpenStreetMap,2026-01-28 23:01:54
Farmacia Los Manantiales,,,,Farmacias,,,,Guadalajara,Jalisco,40.6328865,-3.1919561,No,OpenStreetMap,2026-01-28 23:01:54
Vicenti,,,,Farmacias,,,,Guadalajara,Jalisco,40.6327133,-3.1660347,No,OpenStreetMap,2026-01-28 23:01:54
